title,description,url,organization,age_range,start_date,end_date,start_time,end_time,day_of_week,duration_minutes,repeat_rrule,repeat_frequency,newsletter_description,newsletter_last,newsletter_highlight,calendar_skip,calendar_sent,file_url,location,neighborhood,area,created_at,list_id,status,source
Toddler & Parent Dance & Drama Class,"A fun, engaging and interactive dance and drama class for toddlers and their parents/carers, held weekly on Fridays in Oud West on the Overtoom. It is an opportunity to discover movement and drama in a safe and welcoming environment. Classes include storytelling, action songs, music, games and lots of opportunities to get creative and silly together.",https://amsterdamkidsdramadance.com,Kids Drama & Dance Amsterdam,2-4 years,2026-01-06,2026-01-06,09:45,11:00,Tuesday,,"RRULE:FREQ=WEEKLY;BYDAY=TU,WE,FR",weekly,"This engaging and interactive drama and dance class is designed for children aged 2-4 years and their parents. It features storytelling, music, and games to encourage creative movement in a welcoming, LGBTQ+ friendly environment. You can sign up for a whole term at a discount, or check their website to attend a drop-in class. Comes recommended by multiple local parents!",,false,true,false,,"Overtoom 301, 1054 HW Amsterdam, The Netherlands",Oud-West,West,2026-01-23 15:54,ideas,new,manual
"Parent & Child Yoga 1,5-2,5 years EAST","This 30-minute class is a wonderful introduction to movement, breath, and yoga. The class includes many fixed elements. This helps them gradually understand what a class is and build confidence through recognition.

We create a safe space where your child can connect with others and develop self-confidence – all while having lots of fun. We practice moments of rest and encourage your child to explore.

After class there are 15 more minutes to play and connect with our parents and children (optional).",https://mukhakidsyoga.trainin.app/company/schedule,Mukha Kids Yoga,"1,5-2,5 years",2026-01-09,2026-01-09,10:15,10:45,Friday,30,RRULE:FREQ=WEEKLY;BYDAY=FR,weekly,"Mukha Kids Yoga's class includes many fixed elements, which helps the little ones gradually understand what a class is and build confidence through recognition. It finishes with optional play and connection for children and parents alike.",2026-01-09,false,false,true,https://amsparentproject.slack.com/files/U08CUR77G9K/F0A690V9UKZ/screenshot_20260104-220906.png,"Veemkade 1288, 1019 CV Amsterdam, Netherlands",Oostelijk Havengebied,East,2026-01-04 23:03,ideas,new,manual
"Parent & Child Yoga 2,5-4 years EAST","Parent & Child Yoga 2,5-4 years (from walking comfortably)
This 45-minute class is playful and full of movement, dance, and yoga. We focus on developing your child’s motor skills. Together, we support each other as we climb, crawl, and even fly!
The class has a fixed beginning and ending. Each week, we explore a new theme that connects to the children’s world, such as the seasons, the forest, or the sea. We also pay attention to breathing awareness.",https://mukhakidsyoga.trainin.app/company/schedule,Mukha Kids Yoga,"1,5-2,5 years",2026-01-09,2026-01-09,11:00,11:45,Friday,45,RRULE:FREQ=WEEKLY;BYDAY=FR,weekly,"Mukha Kids Yoga's older toddler class has a fixed beginning and ending and explores a new theme that connects to the children’s world, such as the seasons, the forest, or the sea. Great for parents and kids alike to connect and play through yoga practice.",2026-01-09,false,false,true,https://amsparentproject.slack.com/files/U08CUR77G9K/F0A690V9UKZ/screenshot_20260104-220906.png,"Veemkade 1288, 1019 CV Amsterdam, Netherlands",Oostelijk Havengebied,East,2026-01-04 23:03,ideas,new,manual
Montessori-Inspired Toddler Playgroup,"Join Coffee & Kids for a Montessori-inspired toddler playgroup where little ones can learn through play. The sessions offer fun activities designed to build confidence, independence, and social skills.",https://www.instagram.com/p/DTQrnfICO2l/?img_index=1&igsh=ZmJwODB5eXB5dTh1,Coffee & Kids,1-4 years,2026-01-09,2026-01-09,10:00,10:45,Friday,45,RRULE:FREQ=WEEKLY;BYDAY=FR,weekly,"Coffee & Kids hosts a weekly Montessori-inspired toddler playgroup where little ones can learn through play. These fun activities are designed to build confidence, independence, and social skills for toddlers aged 1-4 years.",2026-01-09,false,false,true,,"IJburglaan 1359, 1087 JJ Amsterdam",IJburg,East,2026-01-09 12:47,ideas,new,manual
Parent & Child Yoga 2-4 years NORTH,"Parent & Child Yoga 2,5-4 years (from walking comfortably)
This 45-minute class is playful and full of movement, dance, and yoga. We focus on developing your child’s motor skills. Together, we support each other as we climb, crawl, and even fly!
The class has a fixed beginning and ending. Each week, we explore a new theme that connects to the children’s world, such as the seasons, the forest, or the sea. We also pay attention to breathing awareness.",https://mukhakidsyoga.trainin.app/company/schedule,Mukha Kids Yoga,2-4 years,2026-01-11,2026-01-11,10:45,11:30,Sunday,45,RRULE:FREQ=WEEKLY;BYDAY=SU,weekly,"Mukha Kids Yoga's older toddler class has a fixed beginning and ending and explores a new theme that connects to the children’s world, such as the seasons, the forest, or the sea. Great for parents and kids alike to connect and play through yoga practice.",2026-01-09,false,false,true,https://amsparentproject.slack.com/files/U08CUR77G9K/F0A690V9UKZ/screenshot_20260104-220906.png,Distelweg 74C1031 HH Amsterdam,Overhoeks,North,2026-01-04 23:10,ideas,new,manual
Run yourself silly!,"Experience 'Ren je Rot!', a session filled with climbing fun for toddlers and their parents at the Wachterliedpaviljoen. Led by Gyselle Freitas, a professional circus artist and experienced teacher, this event encourages movement, expression, and playful learning. Gyselle, with over 20 years of experience, invites you and your child to explore, roll, laugh, and discover together. This event is free and primarily aimed at parents and children residing in the Bos en Lommer area. As Gyselle says, 'Movement is a language everyone speaks,' come and discover how you and your child can playfully grow in confidence, strength, and joy!",https://wachterliedplantsoen.nl/agenda/,Wachterliedplantsoen,0-4 years,2026-01-12,2026-01-12,09:30,11:00,Monday,90,RRULE:FREQ=WEEKLY;BYDAY=MO,weekly,"It's a free, drop-in movement and play session hosted by professional circus artist Gyselle Freitas, for children up to 4 years and their parents.",2026-01-24,false,false,true,https://amsparentproject.slack.com/files/U0A0JTJ2AKH/F0A8WN0MLJC/screenshot_2026-01-11_at_9.37.02_pm.png,"Wachterliedplantsoen 1, 1055 EE Amsterdam, The Netherlands",Bos en Lommer,West,2026-01-11 21:40,ideas,new,manual
Understanding Baby Sleep Workshop,"This free interactive workshop from Lara's Little Dreamers helps parents understand changes in their baby's sleep for babies 4 - 12 months old. It covers 'My Little House of Sleep', exploring what babies are going through, how it affects sleep, and strategies to improve sleep without traditional sleep training, respecting individual parenting styles. The workshop will be live, with a limited-time recording available for signed-up participants.",https://www.laraslittledreamers.com/workshopbookings,Lara's Little Dreamers,4-12 months,2026-01-13,2026-01-13,10:00,10:45,Tuesday,45,,,"Join Lara's Little Dreamers for a free online workshop to understand baby sleep for parents of 4-12 month olds. This interactive session provides strategies to improve your baby's sleep, focusing on understanding their development rather than sleep training, all while respecting your unique parenting style.",2026-01-09,false,false,true,,,Other,Online,2026-01-05 16:17,ideas,new,manual
Playdate Morning,"A Playdate Morning for moms and kids (0-4 yrs) hosted at the new second location of WOW Family Center in De Rivierenbuurt. This session, priced at €10, is designed as a gentle meeting point for moms to connect and share, and for little ones to play. It includes 1 drink and 1 free play for one child. Bookable via the Classitter app.",https://www.instagram.com/p/DTSHYGyDDeO/?igsh=NDV2NmJwbWJ0cHM0,"WOW Family Center, Classitter",0-4 years,2026-01-15,2026-01-15,10:00,11:30,Thursday,90,,,A gentle meeting point for moms to connect and for little ones to play. It includes 1 drink and 1 free play for one child.,2026-01-09,false,false,true,,"Churchill-laan 86, 1078 EL Amsterdam, The Netherlands",Rivierenbuurt,South,2026-01-09 12:13,ideas,new,manual
Music Class for Babies and Toddlers with Hanna Matthijssen,"Hanna Matthijssen offers a fantastic music class for babies and toddlers (1-3 years old) at Belcampo Cafe, located inside the OBA. This engaging class, highly praised by parents, runs weekly on Thursdays from 9:30 to 10:30. Trial classes are available, and there are still some spots left. Children love Hanna and her songs, often singing them long after the class!",https://docs.google.com/document/u/0/d/1Ipdw5xTWC2lJkKIe3JWo4Bwl7C67rUH8VEDebxwnOYw/mobilebasic,Hanna Matthijssen,1-3 years,2026-01-15,2026-01-15,09:30,10:30,Thursday,60,RRULE:FREQ=WEEKLY;BYDAY=TH,weekly,"Join Hanna Matthijssen for an amazing weekly music class designed for babies and toddlers aged 1-3 years. Held at Belcampo Cafe, this class offers engaging songs and activities that children adore, with trial classes available. It's a fantastic way to introduce little ones to the joy of music and connect with other parents.",,false,true,false,,"De Hallen, Amsterdam",Kinkerbuurt,West,2026-01-12 19:09,ideas,new,manual
Ballet at WOW Family Center,"Drop-in ballet classes for children aged 2-5 years, taught by instructor Derin. 

In WOW Family Center's ballet classes for kids, little dancers are introduced to the art of ballet in a fun and engaging way. Through creative movement exercises, basic positions, and simple choreography, children build balance, coordination, and confidence while nurturing their love for dance.",https://www.wowfamilycenter.nl/service-page/ballet-2-5-y-o,WOW Family Center,2-5 years,2026-01-15,2026-01-15,15:30,16:30,Thursday,60,RRULE:FREQ=WEEKLY;BYDAY=TH,weekly,"In WOW Family Center's weekly drop-in ballet classes for kids, little dancers are introduced to the art of ballet in a fun and engaging way. They build balance, coordination, and confidence while nurturing their love for dance.",2026-02-23,false,false,true,https://amsparentproject.slack.com/files/U08CUR77G9K/F0A9R2A710Q/screenshot_20260115-115846.png,"Eerste Sweelinckstraat 21, 1073 CL Amsterdam, Netherlands",De Pijp,South,2026-01-15 12:48,ideas,new,manual
Tulip Day Amsterdam 2026,"Celebrate the start of the 2026 tulip season. At 1:00 PM, a massive garden featuring 200,000 tulips will open to the public, where everyone is invited to pick a free bouquet. Under the 2026 theme ""United in Bloom!""",https://tulipfestivalamsterdam.com/event/national-tulip-day-centre-amsterdam/,,All ages,2026-01-17,2026-01-17,13:00,16:00,Saturday,180,,,"Celebrate the start of the 2026 tulip season at Museumplein, where a massive garden featuring 200,000 tulips will open to the public. Everyone is invited to pick a free bouquet, celebrating under the theme ""United in Bloom!"". This free event is open to all ages.",2026-01-09,false,false,true,https://amsparentproject.slack.com/files/U08CUR77G9K/F0A67NZL8EQ/screenshot_2025-12-30_at_2.41.39_pm.png,"Museumplein 1, 1071 XX Amsterdam, The Netherlands",Museumkwartier,South,2025-12-30 14:42,ideas,new,manual
"Life. Stories: Reading, Music, and Wonder","Join us for a unique storytime event where @cocosabajo will read from 'Een heel bijzondere bloem'. This experience goes beyond just reading, focusing on themes of self-discovery, recognizing feelings, and curiosity about others. Children are encouraged to discover, play, and share, not just sit and listen. The event includes a creative workshop and beautiful music by @norberthoven, along with snacks and drinks for the kids. Parents can enjoy coffee and chat with friends. Entry is free, but spots are limited, so registration is required via the link in bio.",www.life-productions.nl,Life Productions,3-6 years,2026-01-17,2026-01-17,10:30,12:00,Saturday,90,,,"Enjoy a special storytime, creative workshop with music, and activities designed to encourage self-discovery, play, and sharing. Complete with snacks for kids and coffee for parents.",2026-01-09,false,false,true,https://amsparentproject.slack.com/files/U08CUR77G9K/F0A7HFGT9PX/screenshot_20260108-193309.png,"Herengracht 255, 1016 BJ Amsterdam, The Netherlands",Grachtengordel-West,Center,2026-01-08 19:37,ideas,new,manual
Parents workshop: Managing Big Emotions,"This session by Monti’s World is designed to equip parents with the knowledge and tools to better understand and support their child's emotional awareness and development, specifically for children aged 0-5. It focuses on a nurturing approach to supporting big emotions like anger and frustration, gaining insight into children's developing brains, and exploring effective parental response strategies. The session, led by Dr Faye Poole, an Educational and Child Psychologist, helps parents connect with their child and respond with confidence during challenging times. The cost is €40,00.",https://montisworld.nl/products/emotional-regulation,Monti’s World,0-5 years,2026-01-17,2026-01-17,10:30,12:00,Saturday,90,,,Educational and Child Psychologist Dr Faye Poole provides tools and insights into children's emotional development and effective parenting strategies to navigate challenging times. For parents of children aged 0-5.,,false,false,true,,"Ceintuurbaan 143, 1072 GB Amsterdam",De Pijp,South,2026-01-11 21:23,ideas,new,manual
Cinemini: Film and Play for Kids,"Every Sunday morning, Eye Filmmuseum's intimate film theatre presents outstanding short films and animations, often from its rich collection, for children aged 2 to 6 and their parents/grandparents. After the screening, kids are invited to explore light and shadow in play tents and on a large lightbox, specially designed by Taartrovers. Children can experiment with how light creates shadow images, how they disappear, become larger or smaller, or take on different shapes, inspiring their own stories. Cinemini is regularly sold out, so it is advised to buy tickets online in advance. During school holidays, special sessions with a Dutch Sign Language interpreter are available.",https://www.eyefilm.nl/en/programme/cinemini/63168,Eye Filmmuseum,2-6 years,2026-01-18,2026-01-18,10:30,11:30,Sunday,60,RRULE:FREQ=WEEKLY;BYDAY=SU,weekly,"Dive into the magic of cinema every Sunday morning at Eye Filmmuseum with Cinemini! This recurring event features outstanding short films and animations for children aged 2-6, followed by interactive play with light and shadow in specially designed tents. Tickets are required and can be purchased online in advance to ensure your spot.",2026-01-09,false,false,true,,"IJpromenade 1, 1031 KT Amsterdam, The Netherlands",Overhoeks,North,2026-01-03 18:10,ideas,new,manual
Ballet with Me,"Ballet met Mij is an introductory dance class hosted by Balletschool De Kattensprong, designed for children aged 1-4 years (or capable of walking) and their parents/guardians. The class focuses on listening to and moving on music, feeling and using body parts, and telling stories with expressive movements, laying a broad basic technique for all dance styles, including classical ballet. Through themes and stories, dance steps are introduced, fostering fun, cooperation, self-confidence, concentration, discipline, group formation, coordination, and vocabulary. Parents/guardians are required to participate in the class.",https://www.balletschooldekattensprong.nl/lesrooster/lesrooster-amsterdam/,Balletschool De Kattensprong,1-4 years,2026-01-18,2026-01-18,10:00,10:45,Sunday,45,RRULE:FREQ=WEEKLY;BYDAY=SU,weekly,"Dance with your little ones in this weekly class exploring movement, storytelling, and basic ballet techniques. For babies who have started walking, up to 4 years old.",,false,true,false,,"Het Wachterliedpaviljoen, Wachterliedplantsoen 1-3, 1055 SB Amsterdam",Bos en Lommer,West,2026-01-12 09:19,ideas,new,manual
Mothering in the City,"Come join free textile art workshops to share what it is like to be a mother in the city. The workshops are for mothers with a migration background, who have a child under 6, and live in IJburg. Together with Warmi Küyen, a Latin American textile group, participants will create arpilleras (hand-stitched artworks) to share their stories and experiences of everyday mothering. All materials for artwork, lunch, tea, and coffee are provided. Babysitting for children can be arranged, and financial compensation is available if needed. At the end of the project, a group exhibition will be hosted, and participants can take their artwork home. This project is part of a research by the Department of Human Geography and Spatial Planning at Utrecht University.",https://bit.ly/textielmoeders,Utrecht University,0-5 years (for children of participating mothers),2026-01-20,2026-02-10,10:00,14:00,Tuesday,240,RRULE:FREQ=WEEKLY;BYDAY=TU;UNTIL=20260210,weekly,"Join 'Mothering in the City', a series of free textile art workshops hosted by Utrecht University in collaboration with Warmi Küyen, specifically for mothers with a migration background living in IJburg and with children under 6 years old. Participants will create unique hand-stitched artworks to share their experiences of everyday mothering, with all materials, food, and optional babysitting provided.",2026-01-09,false,false,true,https://amsparentproject.slack.com/files/U08CUR77G9K/F0A7YH9G4UQ/screenshot_20260106-185551.png,"IJburg, Amsterdam, The Netherlands",IJburg,East,2026-01-06 19:01,ideas,new,manual
My colors,"In 'My Little Rabbit', mother Rabbit and her small Rabbit embark on various adventures. The small Rabbit (a puppet, initially white and little) gains a new color with each adventure and grows. In one scene, Rabbit's arm turns yellow; in another, its leg turns green. When Rabbit is grown, he doesn't understand where the colors came from. By looking back at photos, Rabbit learns more about himself. Parents and children experience a lot together in the first three years; children may remember little of this later, but it shapes who they are. 'My Little Rabbit' is a solo performance where Anastasiia continues her animation technique from her successful show 'Thuis', even painting live animation. With music and sound design by Thijs Felperlaan, it will be a colorful and imaginative performance designed to make children aware of their own growth and identity. Registration is not required. Make sure to arrive on time to not miss any part of the performance!",https://oba.nl/nl/agenda/nationale-voorleesdagen-familievoorstelling-mijn-kleuren-2-bffdd34e-c32a-4c9a-9390-e1846a00eab2,OBA,2+ years,2026-01-21,2026-01-21,15:00,16:00,Wednesday,60,,,"Join the OBA for 'Mijn Kleuren,' a captivating family performance for ages 2+. This free puppet show, featuring live animation and music, explores a little rabbit's journey of growth and identity, encouraging children to reflect on their own development.",,false,false,true,,"Cullinanplein 1, 1074 JN Amsterdam",Rivierenbuurt,South,2026-01-13 20:28,ideas,new,manual
Family tour at the Rijksmuseum,"A guided tour of the Rijksmuseum specifically designed for parents of babies and toddlers (0-4 years old). This specially-crafted 1-hour tour is led by Amsterdam Parent Project and Paola Bucciol, author of the ABCs of Amsterdam and an official Rijksmuseum tour guide. Meet fellow local parents and learn about the museum's most famous pieces, including those by Rembrandt and Vermeer, in the Gallery of Honor. The tour is flexible to meet your family's needs, allowing you to step out to feed or change your baby. After the tour, there's an opportunity to connect with the group at the museum cafe. Please note: The fee covers the guided tour; museum entrance must be paid separately via Museumkaart or a purchased ticket.",https://www.eventbrite.nl/e/family-tour-at-the-rijksmuseum-parents-children-from-0-4-years-old-tickets-1976387211352?aff=oddtdtcreator,Amsterdam Parent Project,0-4 years,2026-01-22,2026-01-22,09:00,10:00,Thursday,60,,,Explore the Rijksmuseum with your little ones (0-4 years old) on this specially designed flexible family tour by APP and official Rijksmuseum tour guide Paola Bucciol. Discover famous artworks like those by Rembrandt and Vermeer while meeting other local parents with young children. First time we're offering this outside of our Fourth Trimester Program!,2026-01-09,true,false,true,,"Museumstraat 1, 1071 XX Amsterdam, Netherlands",Museumkwartier,Center,2025-12-30 15:15,ideas,new,manual
Free Clothing Market: Winter Edition,"West Kleedt Aan is hosting its Winter Edition free clothing market. Discover pre-loved clothes and promote sustainability in a cozy winter atmosphere. The event takes place at MidWest, Cabralstraat 1, Amsterdam.",https://www.instagram.com/p/DTLYlHsE6hs/?igsh=MXRodGl4NHdzZmk1Mg==,West Kleedt Aan,All ages,2026-01-24,2026-01-24,13:00,15:30,Saturday,150,,,"Join West Kleedt Aan for their Winter Edition free clothing market! This community event at MidWest encourages sustainability and offers pre-loved clothes for all ages. It's a fantastic opportunity for families to find new treasures, and it's completely free!",2026-01-09,false,false,true,,"Cabralstraat 1, Amsterdam, The Netherlands",De Baarsjes,West,2026-01-06 19:43,ideas,new,manual
Kindertaalcafé – Knuffeldag edition,"The Kindertaalcafé is a bilingual and multicultural event hosted by Taalhuis Amsterdam, designed to welcome families and young language enthusiasts. This 'Knuffeldag edition' (Hugging Day) is dedicated to hugging and stuffed toys, featuring themed story readings in Dutch, Greek, Italian, Bulgarian, and Turkish. There's a children's book reading carousel and a fun, creative workshop for children, accompanied by coffee, tea, and croissants. A cozy lunch buffet is available from 12:00. Parents can also attend a 20-minute session by Maria Potvin from Growing Up Multilingual on raising children multilingually. Participants are encouraged to bring their favorite stuffed animal and books in their own language. It's a free event, fostering play, reading, exploration, and connection within Amsterdam’s multicultural community.",https://taalhuisamsterdam.nl/event/kindertaalcafe-knuffeldag-edition/,Taalhuis Amsterdam,,2026-01-24,2026-01-24,10:00,13:00,Saturday,180,,,"Enjoy multilingual storytime with a focus on 'knuffels' (stuffed toys), a creative workshop for children, and a special session for parents on raising multilingual children. Bring your favorite stuffed animal and connect with Amsterdam's diverse community over coffee, croissants, and a delicious lunch buffet.",2026-01-11,false,false,true,,"Gerard Doustraat 220, 1073 XB Amsterdam",De Pijp,South,2026-01-11 21:19,ideas,new,manual
